"Year","Quarter","Cohort","date"
"2017","Q4",48.33,"2017-11-15"
"2017","Q4",51.19,"2017-11-15"
"2017","Q4",53.86,"2017-11-15"
"2017","Q4",56.36,"2017-11-15"
"2017","Q4",58.7,"2017-11-15"
"2017","Q4",60.88,"2017-11-15"
"2017","Q4",62.92,"2017-11-15"
"2017","Q4",64.83,"2017-11-15"
"2017","Q4",66.61,"2017-11-15"
"2019","Q1",41.99,"2019-02-14"
"2019","Q3",41.99,"2019-08-15"
"2019","Q3",45.27,"2019-08-15"
"2019","Q3",48.33,"2019-08-15"
"2019","Q3",51.19,"2019-08-15"
"2019","Q3",53.86,"2019-08-15"
"2019","Q3",56.36,"2019-08-15"
"2019","Q3",58.7,"2019-08-15"
"2019","Q3",60.88,"2019-08-15"
"2019","Q3",62.92,"2019-08-15"
"2019","Q3",64.83,"2019-08-15"
"2019","Q3",66.61,"2019-08-15"
"2020","Q4",38.49,"2020-11-15"
